id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1831,Bitcoin Cash,BCH,bitcoin-cash,1108,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19970906.25,19970906.25,False,11473645805.8,,11,,,,2025-12-23T19:56:00.000Z,574.5180344932859,404683781.8844093,-9.2205,-0.2162811,-2.38008096,4.78266579,4.98471557,14.90537355,3.06608696,11473645805.799679,0.3875,12064878724.36,,2025-12-23T19:56:00.000Z,,,,,,2025-12-24 00:58:28.554829
1975,Chainlink,LINK,chainlink,2173,2017-09-20T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'defi', 'interoperability', 'iot', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'tron-ecosystem', 'polkadot', 'tokenized-stock', 'polkadot-ecosystem', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'defi-2', 'cross-chain', 'cronos-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'xdc-ecosystem', 'metisdao-ecosystem', 'velas-ecosystem', 'doge-chain-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'real-world-assets-protocols', 'zksync-era-ecosystem', 'kadena-ecosystem', 'base-ecosystem', 'linea-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'paal-ecosystem', 'blast-ecosystem', 'atomicals-ecosystem', 'move-vm', 'eigenlayer-ecosystem', 'hyperliquid-ecosystem', 'gnosis-chain-ecosystem', 'ronin-ecosystem', 'astar-ecosystem', 'core-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'opbnb-ecosystem', 'scroll-ecosystem', 'merlin-ecosystem', 'x-layer-ecosystem', 'b²-network-ecosystem', 'mode-ecosystem', 'world-chain-mainnet-ecosystem', 'apechain-ecosystem', 'made-in-america', 'btcfi', 'world-liberty-financial-portfolio', 'corn-ecosystem', 'bonk-fun-ecosystem', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'bittensor-ecosystem', 'tokenized-assets', 'xstocks-ecosystem', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'bera-chain-ecosystem', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'fraxtal-ecosystem', 'monad-ecosystem', 'hashkey-chain-ecosystem', 'wlfi-ecosystem', 'plasma-ecosystem', 'x402-ecosystem', 'iso-20022']",1000000000.0,708099970.4525867,1000000000.0,False,12349697240.7,,12,,,,2025-12-23T19:57:00.000Z,12.349697240699276,470681043.4478656,-0.058,-0.3887813,-0.81729523,-4.65029849,-2.54518684,-30.6717355,-43.52225121,8744820251.237549,0.2954,12349697240.7,,2025-12-23T19:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-12-24 00:58:28.554829
32196,Hyperliquid,HYPE,hyperliquid,218,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perp-dex-coins']",999533278.0,336685219.0,999533278.0,False,24530258498.06,,13,333931719.0,8195256294.179316,,2025-12-23T19:56:00.000Z,24.541712655272846,183355235.3957663,-22.0524,0.18438942,-0.30184651,-8.71577172,-21.26015037,-37.26212308,-46.73752775,8262831899.97561,0.2792,24530258498.06,,2025-12-23T19:56:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-12-24 00:58:28.554829
328,Monero,XMR,monero,346,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', 'layer-1', '2017-2018-alt-season', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",,18446744.07370955,18446744.07370955,True,8240243381.66,,14,,,,2025-12-23T19:56:00.000Z,446.7044888101364,142324886.18403253,-14.4925,0.73287629,-3.74648196,3.60483793,15.30588827,36.68731556,52.85194512,8240243381.657839,0.2784,8240243381.66,,2025-12-23T19:56:00.000Z,,,,,,2025-12-24 00:58:28.554829
3957,UNUS SED LEO,LEO,unus-sed-leo,65,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,921817273.9,985239504.0,False,7628250939.82,,15,,,,2025-12-23T19:56:00.000Z,7.742534590678877,2440490.36038138,-19.0283,0.44464605,-6.4107461,-14.3560601,-18.34316355,-13.60190986,-17.89225671,7137202129.456055,0.2411,7628250939.82,,2025-12-23T19:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2025-12-24 00:58:28.554829
1,Bitcoin,BTC,bitcoin,12503,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19966109.0,19966109.0,False,1750782713307.74,,1,,,,2025-12-23T19:57:00.000Z,87687.72690301073,43213756461.78786,20.9625,-0.23894203,-0.39863637,0.07123473,0.30176676,-20.7472489,-22.72418392,1750782713307.7446,59.1503,1841442264963.23,,2025-12-23T19:57:00.000Z,,,,,,2025-12-24 00:59:29.994742
1027,Ethereum,ETH,ethereum,11293,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120694996.47928987,120694996.47928987,True,354806076316.39,,2,,,,2025-12-23T19:57:00.000Z,2939.691674602894,20750752114.167854,8.953,-0.17704408,-1.25720426,-0.1959589,4.00958473,-25.22714305,-29.42985809,354806076316.39404,11.9871,354806076316.39,,2025-12-23T19:57:00.000Z,,,,,,2025-12-24 00:59:29.994742
825,Tether USDt,USDT,tether,163953,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,186906835256.83847,188851514010.53958,True,188760332609.53,,3,,,,2025-12-23T19:57:00.000Z,0.9995171794015726,76818410450.5584,-5.6347,0.00045975,-0.01687177,-0.01974886,-0.00771341,-0.05811279,-0.08491737,186816592786.78958,6.3116,188760332609.53,,2025-12-23T19:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-12-24 00:59:29.994742
1839,BNB,BNB,bnb,3020,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",137734890.2,137734890.2,137734890.2,False,115833231667.28,,4,,,,2025-12-23T19:58:00.000Z,840.9868516182445,1740050403.8946903,-8.8604,-0.45883763,-1.93517318,-3.3748787,-1.10154331,-24.29096783,-17.28894354,115833231667.2826,3.9135,115833231667.28,,2025-12-23T19:58:00.000Z,,,,,,2025-12-24 00:59:29.994742
52,XRP,XRP,xrp,1774,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",100000000000.0,60572944636.0,99985740916.0,False,188137302223.54,,5,,,,2025-12-23T19:57:00.000Z,1.8816413270527832,2429361738.515203,1.1626,0.02711323,-1.12019328,-2.38360203,-9.41576372,-25.04928575,-37.12898184,113976555928.3778,3.8493,188164132705.28,,2025-12-23T19:57:00.000Z,,,,,,2025-12-24 00:59:29.994742
3408,USDC,USDC,usd-coin,35777,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",,77037743315.5029,77037743315.5029,False,77017940657.62,,6,60901219650.23,60885564907.947136,,2025-12-23T19:57:00.000Z,0.9997429486244648,19190164696.693142,73.4745,-0.00090797,-0.01167427,0.0006596,0.0441903,-0.00395238,-0.00211597,77017940657.61552,2.6021,77017940657.62,,2025-12-23T19:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-12-24 00:59:29.994742
5426,Solana,SOL,solana,1065,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,562415376.1660095,616723999.5182328,True,76383331338.4,,7,525236893.3,65052347052.20791,,2025-12-23T19:57:00.000Z,123.85334671274111,3169712248.274022,-6.5955,0.02374474,-0.85601718,-3.00778739,-6.59905486,-35.8873475,-42.0532812,69657026580.8655,2.3534,76383331338.4,,2025-12-23T19:57:00.000Z,,,,,,2025-12-24 00:59:29.994742
1958,TRON,TRX,tron,1272,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94687449165.4645,94687466588.96089,True,26771112643.35,,8,94667886298.43,26765576681.91568,,2025-12-23T19:57:00.000Z,0.2827313223994478,439565674.7640624,-29.1092,-0.03990635,-0.60702506,0.6803766,2.68980789,-7.37599099,-16.64978668,26771107717.182266,0.9045,26771112643.35,,2025-12-23T19:57:00.000Z,,,,,,2025-12-24 00:59:29.994742
74,Dogecoin,DOGE,dogecoin,1361,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,168017403126.57907,168017403126.57907,True,21662373330.62,,9,,,,2025-12-23T19:57:00.000Z,0.1289293426009062,978268190.9148625,-6.6982,-0.63268393,-2.38003735,-2.44857626,-12.17467834,-34.48753682,-47.12716581,21662373330.62128,0.7319,21662373330.62,,2025-12-23T19:57:00.000Z,,,,,,2025-12-24 00:59:29.994742
2010,Cardano,ADA,cardano,1646,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",45000000000.0,35925947464.89537,44994433987.369934,False,16244763169.47,,10,37997904336.0,13718740345.704845,,2025-12-23T19:57:00.000Z,0.36103939376223515,483639755.08700454,-18.9501,-0.70230831,-2.07791909,-6.75399529,-12.79260551,-44.8987085,-56.22886767,12970682293.059732,0.4382,16246772719.3,,2025-12-23T19:57:00.000Z,,,,,,2025-12-24 00:59:29.994742
1831,Bitcoin Cash,BCH,bitcoin-cash,1108,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19970906.25,19970906.25,False,11473565062.75,,11,,,,2025-12-23T19:57:00.000Z,574.5139914594655,404626335.5133869,-9.2366,-0.23189686,-2.37605413,4.80009384,4.9153413,14.88113667,3.09141178,11473565062.750286,0.3875,12064793820.65,,2025-12-23T19:57:00.000Z,,,,,,2025-12-24 00:59:29.994742
